Time,Coherence
0,0
0.01001001,0.06285329
0.02002002,0.12545803
0.03003003,0.187566653
0.04004004,0.248933554
0.05005005,0.309316061
0.06006006,0.368475395
0.07007007,0.426177612
0.08008008,0.482194534
0.09009009,0.536304643
0.1001001,0.588293965
0.11011011,0.637956911
0.12012012,0.68509709
0.13013013,0.729528091
0.14014014,0.771074213
0.15015015,0.809571163
0.16016016,0.844866709
0.17017017,0.876821275
0.18018018,0.9053085
0.19019019,0.930215731
0.2002002,0.951444475
0.21021021,0.968910783
0.22022022,0.982545587
0.23023023,0.992294968
0.24024024,0.998120372
0.25025025,0.999998764
0.26026026,0.997922715
0.27027027,0.991900435
0.28028028,0.981955739
0.29029029,0.968127953
0.3003003,0.950471757
0.31031031,0.929056973
0.32032032,0.903968283
0.33033033,0.875304901
0.34034034,0.843180172
0.35035035,0.807721134
0.36036036,0.769068007
0.37037037,0.727373642
0.38038038,0.682802917
0.39039039,0.635532086
0.4004004,0.585748078
0.41041041,0.53364776
0.42042042,0.479437162
0.43043043,0.423330656
0.44044044,0.365550112
0.45045045,0.30632402
0.46046046,0.245886586
0.47047047,0.184476807
0.48048048,0.122337524
0.49049049,0.059714465
0.500500501,-0.003144732
0.510510511,-0.065991494
0.520520521,-0.128577295
0.530530531,-0.190654645
0.540540541,-0.251978061
0.550550551,-0.312305044
0.560560561,-0.371397034
0.570570571,-0.429020354
0.580580581,-0.484947137
0.590590591,-0.538956222
0.600600601,-0.590834035
0.610610611,-0.640375427
0.620620621,-0.687384489
0.630630631,-0.731675326
0.640640641,-0.773072793
0.650650651,-0.811413186
0.660660661,-0.84654489
0.670670671,-0.878328979
0.680680681,-0.906639763
0.690690691,-0.931365289
0.700700701,-0.952407783
0.710710711,-0.969684032
0.720720721,-0.983125718
0.730730731,-0.992679687
0.740740741,-0.998308158
0.750750751,-0.999988874
0.760760761,-0.997715189
0.770770771,-0.991496094
0.780780781,-0.981356181
0.790790791,-0.967335548
0.800800801,-0.94948964
0.810810811,-0.927889027
0.820820821,-0.902619128
0.830830831,-0.87377987
0.840840841,-0.841485297
0.850850851,-0.805863117
0.860860861,-0.767054195
0.870870871,-0.725211999
0.880880881,-0.680501991
0.890890891,-0.633100976
0.900900901,-0.583196397
0.910910911,-0.5309856
0.920920921,-0.476675049
0.930930931,-0.420479513
0.940940941,-0.362621214
0.950950951,-0.303328948
0.960960961,-0.242837185
0.970970971,-0.181385136
0.980980981,-0.119215809
0.990990991,-0.056575049
1.001001001,0.006289433
1.011011011,0.069129045
1.021021021,0.131695289
1.031031031,0.193740751
1.041041041,0.255020076
1.051051051,0.315290939
1.061061061,0.374315
1.071071071,0.431858853
1.081081081,0.487694944
1.091091091,0.541602472
1.101101101,0.593368262
1.111111111,0.64278761
1.121121121,0.689665089
1.131131131,0.733815325
1.141141141,0.775063729
1.151151151,0.813247185
1.161161161,0.8482147
1.171171171,0.879827996
1.181181181,0.90796206
1.191191191,0.932505637
1.201201201,0.953361672
1.211211211,0.970447691
1.221221221,0.983696126
1.231231231,0.993054589
1.241241241,0.998486072
1.251251251,0.999969096
1.261261261,0.997497797
