Time,Coherence,Delta Conherence
0.0,0.0,
0.01002004008016032,0.06291618610288617,0.062916186
0.02004008016032064,0.125583074898612,0.062666889
0.03006012024048096,0.18775235688857972,0.062169282
0.04008016032064128,0.24917769427725217,0.061425337
0.0501002004008016,0.3096156970540306,0.060438003
0.06012024048096192,0.3688268873949135,0.05921119
0.07014028056112225,0.42657664856261784,0.057749761
0.08016032064128256,0.48263615454526954,0.056059506
0.09018036072144288,0.5367832767500869,0.054147122
0.1002004008016032,0.5888034641594024,0.052020187
0.11022044088176353,0.6384905934615152,0.049687129
0.12024048096192384,0.6856477857878411,0.047157192
0.13026052104208416,0.7300881868201455,0.044440401
0.1402805611222445,0.7716357071767809,0.04154752
0.1503006012024048,0.8101257201442467,0.038490013
0.16032064128256512,0.8454057139893991,0.035279994
0.17034068136272545,0.8773358962676062,0.031930182
0.18036072144288576,0.9057897477323569,0.028453851
0.1903807615230461,0.9306545236515261,0.024864776
0.2004008016032064,0.9518317005438962,0.021177177
0.21042084168336672,0.9692373665657978,0.017405666
0.22044088176352705,0.9828025540010144,0.013565187
0.23046092184368736,0.992473512536499,0.009670959
0.24048096192384769,0.998211922241088,0.00573841
0.250501002004008,0.9999950454033061,0.001783123
0.2605210420841683,0.9978158166266278,-0.002179229
0.27054108216432865,0.9916828708252043,-0.006132946
0.280561122244489,0.9816205090091248,-0.010062362
0.2905811623246493,0.9676686019947848,-0.013951907
0.3006012024048096,0.9498824324218972,-0.01778617
0.3106212424849699,0.9283324757031317,-0.021549957
0.32064128256513025,0.9031041207743439,-0.025228355
0.3306613226452906,0.874297331751883,-0.028806789
0.3406813627254509,0.8420262518376188,-0.03227108
0.3507014028056112,0.8064187510411646,-0.035607501
0.3607214428857715,0.767615919511385,-0.038802832
0.37074148296593185,0.7257715084848019,-0.041844411
0.3807615230460922,0.6810513210660664,-0.044720187
0.3907815631262525,0.633632555254449,-0.047418766
0.4008016032064128,0.5837031018195269,-0.049929453
0.4108216432865731,0.5314607998081387,-0.052242302
0.42084168336673344,0.47711265263256947,-0.054348147
0.4308617234468938,0.4208740078461168,-0.056238645
0.4408817635270541,0.36296770385606475,-0.057906304
0.45090180360721444,0.30362318695511703,-0.059344517
0.4609218436873747,0.2430756021699285,-0.060547585
0.47094188376753504,0.18156486152913387,-0.061510741
0.48096192384769537,0.11933469344275102,-0.062230168
0.4909819639278557,0.05663167695965502,-0.062703016
0.501002004008016,-0.006295735270235435,-0.062927412
0.5110220440881763,-0.06919820145767352,-0.062902466
0.5210420841683366,-0.13182647865890226,-0.062628277
0.531062124248497,-0.19393241036880776,-0.062105932
0.5410821643286573,-0.25526990980920117,-0.061337499
0.5511022044088176,-0.31559593501607375,-0.060326025
0.561122244488978,-0.3746714518621626,-0.059075517
0.5711422845691383,-0.43226238119898436,-0.057590929
0.5811623246492986,-0.48814052636539523,-0.055878145
0.5911823647294588,-0.542084477387556,-0.053943951
0.6012024048096192,-0.5938804882875184,-0.051796011
0.6112224448897795,-0.6433233240242081,-0.049442836
0.6212424849699398,-0.6902170737109197,-0.04689375
0.6312625250501002,-0.7343759268870446,-0.044158853
0.6412825651302605,-0.775624909768156,-0.041248983
0.6513026052104208,-0.8138005785571593,-0.038175669
0.6613226452905812,-0.8487516670693468,-0.034951089
0.6713426853707415,-0.8803396861052282,-0.031588019
0.6813627254509018,-0.9084394721961954,-0.028099786
0.6913827655310621,-0.9329396835486949,-0.024500211
0.7014028056112224,-0.953743241221784,-0.020803558
0.7114228456913827,-0.9707677137899661,-0.017024473
0.721442885771543,-0.9839456439671285,-0.01317793
0.7314629258517034,-0.9932248158973743,-0.009279172
0.7414829659318637,-0.9985684620536465,-0.005343646
0.751503006012024,-0.9999554089243304,-0.001386947
0.7615230460921844,-0.9973801609105755,0.002575248
0.7715430861723447,-0.9908529221018992,0.006527239
