Time,Coherence
0.0,0.0
0.01,0.01999866669333308
0.02,0.03998933418663416
0.03,0.059964006479444595
0.04,0.0799146939691727
0.05,0.09983341664682815
0.06,0.11971220728891936
0.07,0.1395431146442365
0.08,0.15931820661424598
0.09,0.17902957342582418
0.1,0.19866933079506122
0.11,0.21822962308086932
0.12,0.23770262642713458
0.13,0.2570805518921551
0.14,0.27635564856411376
0.15,0.29552020666133955
0.16,0.31456656061611776
0.17,0.3334870921408144
0.18,0.35227423327508994
0.19,0.3709204694129827
0.2,0.3894183423086505
0.21,0.40776045305957015
0.22,0.4259394650659996
0.23,0.4439481069655198
0.24,0.4617791755414829
0.25,0.479425538604203
0.26,0.49688013784373675
0.27,0.5141359916531132
0.28,0.5311861979208834
0.29,0.5480239367918736
0.3,0.5646424733950354
0.31,0.5810351605373051
0.32,0.5971954413623921
0.33,0.6131168519734338
0.34,0.6287930240184686
0.35000000000000003,0.6442176872376911
0.36,0.6593846719714731
0.37,0.674287911628145
0.38,0.6889214451105513
0.39,0.7032794192004103
0.4,0.7173560908995228
0.41000000000000003,0.7311458297268959
0.42,0.7446431199708593
0.43,0.757842562895277
0.44,0.7707388788989693
0.45,0.7833269096274834
0.46,0.795601620036366
0.47000000000000003,0.8075581004051143
0.48,0.8191915683009983
0.49,0.8304973704919705
0.5,0.8414709848078965
0.51,0.852108021949363
0.52,0.8624042272433384
0.53,0.8723554823449863
0.54,0.8819578068849475
0.55,0.8912073600614354
0.56,0.9001004421765051
0.5700000000000001,0.9086334961158833
0.58,0.9168031087717669
0.59,0.9246060124080203
0.6,0.9320390859672263
0.61,0.9390993563190676
0.62,0.945783999449539
0.63,0.9520903415905158
0.64,0.9580158602892249
0.65,0.963558185417193
0.66,0.9687151001182653
0.67,0.9734845416953194
0.68,0.9778646024353163
0.6900000000000001,0.9818535303723598
0.7000000000000001,0.9854497299884603
0.71,0.9886517628517197
0.72,0.9914583481916864
0.73,0.9938683634116449
0.74,0.99588084453764
0.75,0.9974949866040544
0.76,0.998710143975583
0.77,0.9995258306054791
0.78,0.9999417202299663
0.79,0.9999576464987401
0.8,0.9995736030415051
0.81,0.998789743470524
0.8200000000000001,0.9976063813191737
0.8300000000000001,0.9960239899165367
0.84,0.994043202198076
0.85,0.9916648104524686
0.86,0.9888897660047015
0.87,0.9857191788355535
0.88,0.9821543171376185
0.89,0.9781966068080447
0.9,0.9738476308781951
0.91,0.9691091288804563
0.92,0.9639829961524481
0.93,0.9584712830789142
0.9400000000000001,0.9525761942715953
0.9500000000000001,0.9463000876874145
0.96,0.9396454736853249
0.97,0.9326150140222005
0.98,0.9252115207881683
0.99,0.9174379552818098
1.0,0.9092974268256817
1.01,0.9007931915226273
1.02,0.8919286509533796
1.03,0.8827073508159741
1.04,0.8731329795075164
1.05,0.8632093666488737
1.06,0.8529404815528762
1.07,0.8423304316366457
1.08,0.8313834607786831
1.09,0.8201039476213741
1.1,0.8084964038195901
1.11,0.7965654722360865
1.12,0.7843159250844199
1.1300000000000001,0.7717526620201257
1.1400000000000001,0.7588807081809218
1.1500000000000001,0.74570521217672
1.16,0.7322314440302514
1.17,0.7184647930691263
1.18,0.7044107657701763
1.19,0.6900749835569364
1.2,0.6754631805511511
1.21,0.6605812012792007
1.22,0.6454349983343708
1.23,0.6300306299958922
1.24,0.6143742578057118
1.25,0.5984721441039564
1.26,0.5823306495240819
1.27,0.5659562304487028
1.28,0.5493554364271266
1.29,0.5325349075556212
1.3,0.5155013718214642
1.31,0.49826164241183857
1.32,0.48082261498864826
1.33,0.4631912649303452
1.34,0.44537464454187115
1.35,0.4273798802338298
1.36,0.4092141696720173
1.37,0.3908847788984522
1.3800000000000001,0.3723990394250553
1.3900000000000001,0.3537643453011427
1.4000000000000001,0.33498815015590466
1.41,0.3160779642170538
1.42,0.2970413513068324
1.43,0.2778859258165868
1.44,0.25861934966111083
1.45,0.23924932921398243
1.46,0.21978361222511694
1.47,0.20022998472177053
1.48,0.18059626789423291
1.49,0.16089031496745576
1.5,0.1411200080598672
1.51,0.12129325503062975
1.52,0.10141798631660187
1.53,0.08150215176026912
1.54,0.06155371742991315
1.55,0.04158066243329049
1.56,0.02159097572609596
1.57,0.0015926529164868282
1.58,-0.01840630693305381
1.59,-0.03839790450523538
1.6,-0.058374143427580086
1.61,-0.0783270334708653
1.62,-0.09824859374510868
1.6300000000000001,-0.11813085589181781
1.6400000000000001,-0.13796586727122728
1.6500000000000001,-0.15774569414324865
1.6600000000000001,-0.17746242484086058
1.67,-0.19710817293466984
1.68,-0.21667508038737962
1.69,-0.236155320696897
1.7,-0.2555411020268312
1.71,-0.274824670323124
1.72,-0.2939983124155676
1.73,-0.3130543591029702
1.74,-0.3319851882207341
1.75,-0.35078322768961984
1.76,-0.3694409585444771
1.77,-0.3879509179417303
1.78,-0.4063057021444168
1.79,-0.4244979694835826
1.8,-0.44252044329485246
1.81,-0.4603659148289983
1.82,-0.47802724613534286
1.83,-0.4954973729168449
1.84,-0.5127693073557238
1.85,-0.5298361409084934
1.86,-0.5466910470692872
1.87,-0.56332728410037
1.8800000000000001,-0.5797381977287431
1.8900000000000001,-0.5959172238077642
1.9000000000000001,-0.6118578909427193
1.9100000000000001,-0.6275538230792936
1.92,-0.6429987420539088
1.93,-0.6581864701049049
1.94,-0.6731109323435617
1.95,-0.6877661591839738
1.96,-0.7021462887308054
1.97,-0.7162455691239705
1.98,-0.7300583608392995
1.99,-0.7435791389442746
2.0,-0.7568024953079283
2.0100000000000002,-0.7697231407640244
2.02,-0.7823359072266528
